Field Name,Data Type,Description,Constraints,Example
starting_price_total,integer,Total price of the project based on all assigned resources and scope hours.,Auto-calculated; not editable by user.,5000
price_view_mode,enum,Selected payment view mode that determines how the price is displayed to the user.,"Options: 'weekly', 'biweekly', 'monthly', 'quarterly', 'yearly'. Default: 'biweekly'.",biweekly
price_view_amount,integer,Displayed project cost according to selected payment view mode.,Calculated based on total project price and duration.,1250
start_project_button,button,Starts the checkout process by taking the user to the payment tab.,Visible when user is logged in.,Start Project
project_description,rich_text,Rich text overview of the project.,"Supports line breaks, bullets, and block quotes. No third-party links or custom fonts allowed. Must pass content moderation.",This project enables real-time AI analytics for healthcare providers...
programming_languages,list[string],Languages used in the project.,Shown as tags. Limit 10 max.,"[""Python"", ""TypeScript""]"
development_technologies,list[string],Frameworks and tools used in the project.,Shown as tags. Limit 10 max.,"[""Next.js"", ""PostgreSQL""]"
project_categories,list[string],Top-level categories for the project used for discovery and recommendation.,Max 3. Selected during project creation.,"[""AI & Machine Learning"", ""Web Development""]"
project_tags,list[string],Custom tags added by the project creator for improved discoverability.,Max 10. Shown as clickable tags.,"[""Real-time"", ""Monitoring"", ""Analytics""]"
project_skills,list[string],Skills associated with the project scope and tasks.,Generated by AI based on task breakdown and assigned roles.,"[""Data Visualization"", ""API Integration""]"
team_member_count,integer,Total number of unique team members assigned to the project.,Calculated from task assignments.,4
project_duration_total,integer,Total number of weeks for the project across all phases.,Auto-calculated from scope. Displayed as total only.,8
chat_enabled,boolean,Whether the live chat widget is shown for this project.,True only if at least one assigned team member is online.,true
recent_questions,list[string],Recently asked questions that were approved for public display.,Must pass content moderation and be approved by team lead or project owner.,"[""What integrations are supported?"", ""Can I scale this later?""]"
related_categories,list[string],Similar categories based on the assigned categories of this project.,Auto-generated based on semantic similarity.,"[""Data Science"", ""Healthcare Apps""]"
related_skills,list[string],Skills related to the project scope’s assigned skills.,"Derived from current project skills using semantic matching (e.g., HuggingFace).","[""ML Ops"", ""ETL Pipelines""]"
project_date_published,date,Date when the project was published to the marketplace.,Auto-generated.,2025-06-01
project_history_ratings,float,Average rating of the client's past projects.,0 to 5 stars; calculated from review data.,4.8
recommended_projects,list[project_id],List of system-recommended projects based on similarity.,Generated using semantic and category similarity.,"[123, 124, 130]"
similar_projects,list[project_id],Similar projects for exploration under the same category and tag set.,Sorted by engagement score.,"[125, 126, 127]"
recently_viewed_projects,list[project_id],List of projects recently viewed by the logged-in user.,Stored in local/session storage; max 10 items.,"[105, 110, 117]"
faq_questions,list[string],Common questions about the project answered by the team.,Editable by team lead. Must pass moderation.,"[""How secure is this integration?"", ""Is it scalable?""]"
project_subcategories,list[string],Secondary classifications selected during project creation.,Pulled from autocomplete library.,"[""Conversational AI"", ""UI Animation""]"
report_button_enabled,boolean,Allows users to flag inappropriate projects.,Visible to logged-in users only.,true
share_button_enabled,boolean,Enables share menu for social or direct linking.,Always true for public projects.,true
help_button_enabled,boolean,Opens help modal or contact support for this project page.,Optional feature toggle.,false
klarna_payment_enabled,boolean,Indicates whether Klarna installment options are available at checkout.,Optional UI toggle; shown if integrated with Klarna.,true
save_to_list,list[string],"Lists created by user to organize or save projects (e.g., 'Email Marketing').",Optional; editable by user.,"[""Digital Marketing"", ""Customer Service""]"
created_by_name,string,Name of the user who published the project.,Auto-filled from user profile.,Christopher Torres
created_by_email,string,Email address of the project creator.,Not shown to users unless internal.,chris@marketeqdigital.com
current_team_avatars,list[user_id],Team members assigned to the project (shown with avatars and names).,1 user per task; duplicates allowed across tasks.,"[101, 102, 103]"
project_duration_label,string,"Total duration of the project, calculated from all phases.",Displayed in weeks; derived.,12 weeks
start_project_button_state,enum,Interactive states of the start project button.,"One of: default, hover, active, disabled.",default
save_button_state,enum,State of the save/favorite heart icon.,"One of: saved, unsaved.",saved
project_subcategories,list[string],Secondary categories for the project (distinct from main categories).,Selected from autocomplete; up to 5.,"[""iOS"", ""E-commerce""]"
report_button_state,enum,Interactive state of the report abuse button.,"One of: default, hover, submitted.",default
